Customer_ID,Age,Tenure_Months,Account_Balance,Monthly_Income,Previous_Month_Transactions,Current_Month_Transactions,Digital_Login_Frequency,UPI_Transactions,Card_Usage_Frequency,Loan_Active,Investment_Active,Complaint_Count,Days_Since_Last_Login,Salary_Account,Auto_Debit_Active,Churn,Transaction_Drop_Ratio,Digital_Engagement_Score,Inactivity_Score,Complaint_Risk_Score,Product_Adoption_Score,Balance_to_Income_Ratio
CUST100000,56,12,82494,243526,32,49,27,78,28,0,0,0,101,1,0,0,0.0,47.6,0.8416666666666667,0.0,1,0.33874683300003694
CUST100001,69,175,745265,109283,64,64,31,17,44,1,1,0,64,1,1,0,0.0,28.000000000000004,0.5333333333333333,0.0,4,6.819525273599063
CUST100002,46,18,602513,162044,7,66,24,70,26,1,0,0,111,1,1,0,0.0,42.800000000000004,0.925,0.0,3,3.7181832207102965
CUST100003,32,149,83867,138805,59,43,31,46,16,1,1,1,5,0,0,0,0.26666666666666666,34.00000000000001,0.041666666666666664,0.125,2,0.6042029883434433
CUST100004,60,141,169600,108846,18,30,34,31,4,1,0,2,108,0,0,0,0.0,26.8,0.9,0.25,1,1.558150431339403
CUST100005,25,149,780957,37927,62,42,21,42,44,0,0,0,108,0,1,0,0.31746031746031744,34.0,0.9,0.0,1,20.59051360472474
CUST100006,38,126,866404,135589,19,76,23,39,12,0,0,0,10,1,0,0,0.0,27.200000000000003,0.08333333333333333,0.0,1,6.3898812596799175
CUST100007,56,136,459818,130657,6,47,29,64,41,1,0,1,79,0,0,0,0.0,45.400000000000006,0.6583333333333333,0.125,1,3.519248725680785
CUST100008,36,46,883693,81630,28,81,31,34,14,0,1,0,21,1,0,0,0.0,28.8,0.175,0.0,2,10.825458465533927
CUST100009,40,104,616036,119428,82,80,30,68,14,0,1,0,109,1,0,0,0.024096385542168676,42.0,0.9083333333333333,0.0,2,5.158177662041883
CUST100010,28,135,255265,137035,68,80,22,49,17,0,0,1,10,0,0,0,0.0,31.800000000000004,0.08333333333333333,0.125,0,1.8627586911468519
CUST100011,28,151,520493,198419,75,60,32,11,49,0,1,0,36,1,0,0,0.19736842105263158,27.000000000000004,0.3,0.0,2,2.62318818667473
CUST100012,41,86,165404,245780,28,74,24,75,1,1,1,1,25,0,1,0,0.0,39.800000000000004,0.20833333333333334,0.125,3,0.6729730939332169
CUST100013,53,150,911913,141244,31,83,23,57,22,0,0,1,56,0,0,0,0.0,36.4,0.4666666666666667,0.125,0,6.4562497787532305
CUST100014,57,89,654817,234932,41,9,30,62,42,0,1,1,25,0,0,0,0.7619047619047619,45.199999999999996,0.20833333333333334,0.125,1,2.787249981909736
CUST100015,41,22,997433,232282,43,28,12,72,12,1,1,1,105,0,0,0,0.3409090909090909,36.0,0.875,0.125,2,4.294042181304701
CUST100016,20,92,987710,84518,67,47,9,48,42,1,0,4,20,1,1,0,0.29411764705882354,31.200000000000003,0.16666666666666666,0.5,3,11.686248062565813
