Customer_ID,Age,Tenure_Months,Account_Balance,Monthly_Income,Previous_Month_Transactions,Current_Month_Transactions,Digital_Login_Frequency,UPI_Transactions,Card_Usage_Frequency,Loan_Active,Investment_Active,Complaint_Count,Days_Since_Last_Login,Salary_Account,Auto_Debit_Active,Churn
CUST100000,56,12,82494,243526,32,49,27,78,28,0,0,0,101,1,0,0
CUST100001,69,175,745265,109283,64,64,31,17,44,1,1,0,64,1,1,0
CUST100002,46,18,602513,162044,7,66,24,70,26,1,0,0,111,1,1,0
CUST100003,32,149,83867,138805,59,43,31,46,16,1,1,1,5,0,0,0
CUST100004,60,141,169600,108846,18,30,34,31,4,1,0,2,108,0,0,0
CUST100005,25,149,780957,37927,62,42,21,42,44,0,0,0,108,0,1,0
CUST100006,38,126,866404,135589,19,76,23,39,12,0,0,0,10,1,0,0
CUST100007,56,136,459818,130657,6,47,29,64,41,1,0,1,79,0,0,0
CUST100008,36,46,883693,81630,28,81,31,34,14,0,1,0,21,1,0,0
CUST100009,40,104,616036,119428,82,80,30,68,14,0,1,0,109,1,0,0
CUST100010,28,135,255265,137035,68,80,22,49,17,0,0,1,10,0,0,0
CUST100011,28,151,520493,198419,75,60,32,11,49,0,1,0,36,1,0,0
CUST100012,41,86,165404,245780,28,74,24,75,1,1,1,1,25,0,1,0
CUST100013,53,150,911913,141244,31,83,23,57,22,0,0,1,56,0,0,0
CUST100014,57,89,654817,234932,41,9,30,62,42,0,1,1,25,0,0,0
CUST100015,41,22,997433,232282,43,28,12,72,12,1,1,1,105,0,0,0
CUST100016,20,92,987710,84518,67,47,9,48,42,1,0,4,20,1,1,0
CUST100017,39,29,485353,191355,83,80,22,35,3,1,1,0,56,1,0,0
CUST100018,19,13,265395,96326,30,61,17,53,46,0,0,0,25,0,0,0
CUST100019,41,2,964221,158277,69,12,31,46,24,1,0,0,14,1,0,0
CUST100020,61,29,886540,135243,8,43,32,31,10,1,0,1,102,0,0,0
CUST100021,47,27,683387,235946,33,46,27,52,49,0,1,0,62,0,1,0
CUST100022,55,50,98382,27748,5,63,15,31,47,1,1,1,34,0,1,0
CUST100023,19,95,480767,167169,54,52,15,61,41,0,0,3,10,1,0,0
CUST100024,38,151,10583,149164,15,89,17,36,11,1,0,1,72,1,1,0
CUST100025,50,88,575675,68311,78,76,7,37,12,0,0,0,105,1,0,1
CUST100026,29,44,286248,37692,63,75,15,29,8,0,1,2,86,1,0,0
CUST100027,39,22,537512,139954,66,43,10,57,44,0,0,3,67,0,0,1
CUST100028,61,171,848056,169934,85,27,5,31,37,0,1,1,93,0,1,1
CUST100029,42,165,450274,145035,40,1,0,65,5,0,1,1,91,1,0,1
CUST100030,66,97,891752,236468,60,56,11,50,42,1,1,2,88,1,0,1
CUST100031,44,3,228444,94507,25,56,27,10,42,1,0,1,85,0,0,0
CUST100032,59,118,947803,95152,17,33,16,58,9,1,0,0,88,1,0,1
CUST100033,45,19,341716,216541,13,86,0,19,22,0,0,4,115,0,1,1
CUST100034,33,23,872901,19926,15,57,31,36,14,1,1,2,89,0,1,0
CUST100035,32,157,865360,237371,79,51,7,72,44,0,1,2,49,1,1,0
CUST100036,64,30,467690,18969,74,28,23,48,22,1,0,1,28,1,1,0
CUST100037,68,39,267285,50733,5,34,9,18,39,0,0,1,109,0,1,1
CUST100038,61,108,679710,84855,74,74,9,54,36,0,1,2,63,0,0,0
CUST100039,69,111,469298,56743,81,47,24,39,33,1,0,2,40,1,0,1
CUST100040,20,25,858303,145193,60,32,9,6,15,1,0,1,95,1,0,1
CUST100041,54,128,137149,185948,35,74,18,4,44,1,1,2,25,1,0,0
CUST100042,68,111,571303,122445,41,72,14,41,40,1,0,0,27,1,0,0
CUST100043,24,136,989651,35323,51,77,15,47,46,0,1,1,83,0,0,0
